chr	geneID	start	end
chr1	ENSG00000233645.1	8208190	8230529
chr1	ENSG00000251977.1	8282157	8302263
chr1	ENSG00000162426.14	8307826	8354167
chr1	ENSG00000252254.1	8318067	8338179
chr1	ENSG00000142599.17	8342397	8827643
chr1	ENSG00000232912.5	8414645	8444838
chr1	ENSG00000221083.1	8501795	8521919
chr1	ENSG00000270282.1	8502653	8523021
chr1	ENSG00000234619.1	8740430	8761087
chr1	ENSG00000224315.2	8776211	8796913
chr1	ENSG00000222511.2	8786571	8806673
chr1	ENSG00000226545.1	8788475	8809506
chr1	ENSG00000228423.2	8795860	8817051
chr1	ENSG00000229716.2	8821007	8841375
chr1	ENSG00000074800.13	8851002	8889249
chr1	ENSG00000274258.1	8856502	8876590
chr1	ENSG00000236269.1	8865788	8888007
chr1	ENSG00000230679.1	8869565	8889894
chr1	ENSG00000201725.1	8873427	8893533
chr1	ENSG00000238249.2	8883409	8904151
chr1	ENSG00000232208.2	8897393	8917744
chr1	ENSG00000232663.2	8899742	8919904
chr1	ENSG00000131686.14	8935867	8985092
chr1	ENSG00000265141.2	8969576	8989874
chr1	ENSG00000197241.3	8993300	9036345
chr1	ENSG00000142583.17	9025107	9098478
chr1	ENSG00000252404.1	9072696	9092879
chr1	ENSG00000180758.11	9090305	9139170
chr1	ENSG00000228526.6	9138011	9206983
chr1	ENSG00000234546.3	9173751	9206284
chr1	ENSG00000281937.1	9187143	9208906
chr1	ENSG00000049239.12	9224775	9281337
chr1	ENSG00000171621.13	9282880	9379532
chr1	ENSG00000252956.1	9427669	9447778
chr1	ENSG00000235263.1	9491092	9513471
chr1	ENSG00000171612.6	9529482	9595179
chr1	ENSG00000231181.1	9566427	9586985
chr1	ENSG00000188807.12	9578922	9624873
chr1	ENSG00000171608.15	9641732	9739025
chr1	ENSG00000179840.5	9642610	9664586
chr1	ENSG00000233268.3	9650828	9672626
chr1	ENSG00000231789.2	9662426	9697555
chr1	ENSG00000171603.16	9719115	9834526
chr1	ENSG00000271264.1	9770822	9791240
chr1	ENSG00000280113.2	9816289	9838271
chr1	ENSG00000178585.14	9838276	9920336
chr1	ENSG00000162441.11	9912113	9953407
chr1	ENSG00000228150.1	9932923	9959974
chr1	ENSG00000173614.13	9933428	9995501
chr1	ENSG00000202415.1	9937318	9957636
chr1	ENSG00000283611.1	9941231	9970832
chr1	ENSG00000265521.1	9957381	9977458
chr1	ENSG00000162444.11	9987206	10026020
chr1	ENSG00000130939.18	10022832	10191239
chr1	ENSG00000224340.1	10044445	10064781
chr1	ENSG00000233623.2	10048671	10069648
chr1	ENSG00000201746.1	10153268	10173374
chr1	ENSG00000054523.17	10200805	10391603
chr1	ENSG00000264881.1	10217718	10237803
chr1	ENSG00000199562.1	10288966	10309072
chr1	ENSG00000142657.20	10388592	10430144
chr1	ENSG00000271989.1	10419881	10440677
chr1	ENSG00000175279.21	10420783	10452809
chr1	ENSG00000241563.3	10439719	10461902
chr1	ENSG00000160049.11	10446522	10482526
chr1	ENSG00000142655.12	10464887	10640758
chr1	ENSG00000243267.3	10606836	10627115
chr1	ENSG00000130940.14	10626604	10806650
chr1	ENSG00000272078.1	10630060	10664333
chr1	ENSG00000225158.2	10885761	10905998
chr1	ENSG00000175262.14	10936473	10992037
chr1	ENSG00000215785.2	10980978	11001797
chr1	ENSG00000120948.16	11002344	11036420
chr1	ENSG00000009724.16	11016523	11057233
chr1	ENSG00000271895.2	11019659	11040528
chr1	ENSG00000116649.9	11044589	11070024
chr1	ENSG00000171824.13	11056618	11108156
chr1	ENSG00000226849.1	11058471	11083097
chr1	ENSG00000230337.1	11089675	11112100
chr1	ENSG00000198793.12	11096535	11272507
chr1	ENSG00000225602.5	11133898	11159537
chr1	ENSG00000253086.1	11142350	11162452
chr1	ENSG00000171819.4	11179341	11205981
chr1	ENSG00000207451.1	11216254	11236360
chr1	ENSG00000238173.1	11222963	11243112
chr1	ENSG00000120942.13	11263206	11306049
chr1	ENSG00000238199.1	11268616	11289351
chr1	ENSG00000224338.2	11415257	11435821
chr1	ENSG00000204624.7	11469166	11547584
chr1	ENSG00000235643.1	11599531	11623355
chr1	ENSG00000116661.9	11638367	11665785
chr1	ENSG00000132879.13	11644857	11673327
chr1	ENSG00000116663.10	11654124	11684354
chr1	ENSG00000116670.14	11664480	11701650
chr1	ENSG00000162490.6	11681729	11735857
chr1	ENSG00000177674.15	11726084	11764802
chr1	ENSG00000215910.7	11751787	11795289
chr1	ENSG00000177553.6	11767077	11789619
chr1	ENSG00000177000.10	11775723	11816920
chr1	ENSG00000011021.21	11797131	11853144
chr1	ENSG00000242349.5	11833704	11858079
chr1	ENSG00000175206.10	11835767	11858345
chr1	ENSG00000120937.8	11847464	11868931
chr1	ENSG00000224904.1	11867770	11890406
chr1	ENSG00000199347.1	11898152	11918271
chr1	ENSG00000201801.1	11899808	11919927
chr1	ENSG00000116685.15	11909591	11936428
chr1	ENSG00000083444.16	11924205	11985538
chr1	ENSG00000116688.16	11970181	12023514
chr1	ENSG00000270914.1	12007216	12027308
chr1	ENSG00000116691.10	12009466	12042045
chr1	ENSG00000202461.1	12014012	12034124
chr1	ENSG00000276869.1	12019158	12039222
chr1	ENSG00000243539.3	12026740	12047014
chr1	ENSG00000120949.14	12053377	12154207
chr1	ENSG00000201135.1	12067881	12087984
chr1	ENSG00000227875.2	12070293	12090547
chr1	ENSG00000283789.1	12156943	12177002
chr1	ENSG00000028137.18	12157039	12219228
chr1	ENSG00000263676.1	12181713	12201773
chr1	ENSG00000225196.2	12210794	12231109
chr1	ENSG00000252969.1	12211148	12231271
chr1	ENSG00000048707.13	12220067	12522047
chr1	ENSG00000239149.1	12497246	12517397
chr1	ENSG00000229484.1	12517724	12538420
chr1	ENSG00000162496.8	12557910	12627731
chr1	ENSG00000221340.1	12559972	12580072
chr1	ENSG00000276830.1	12568957	12589023
chr1	ENSG00000272482.1	12608900	12629244
chr1	ENSG00000204518.2	12634547	12677086
chr1	ENSG00000226166.2	12682909	12703020
chr1	ENSG00000188984.11	12706115	12738759
chr1	ENSG00000157330.9	12736215	12773699
chr1	ENSG00000116726.4	12764841	12787906
chr1	ENSG00000116721.9	12781397	12806628
chr1	ENSG00000228338.1	12812686	12833159
chr1	ENSG00000239810.3	12814605	12841410
chr1	ENSG00000231103.2	12828125	12851357
chr1	ENSG00000179172.9	12837408	12858725
chr1	ENSG00000120952.4	12847086	12871909
chr1	ENSG00000243073.3	12869224	12896201
chr1	ENSG00000187545.5	12882896	12908270
chr1	ENSG00000204510.5	12906610	12930482
chr1	ENSG00000207434.1	12912554	12932660
chr1	ENSG00000234064.1	12916162	12938253
chr1	ENSG00000232423.6	12928472	12957580
chr1	ENSG00000274178.2	13019339	13042130
chr1	ENSG00000274764.5	13039476	13066491
chr1	ENSG00000277058.2	13050869	13072229
chr1	ENSG00000229571.7	13058677	13087884
chr1	ENSG00000277862.1	13085179	13107971
chr1	ENSG00000236179.1	13094403	13115689
chr1	ENSG00000275774.2	13105496	13126854
chr1	ENSG00000229978.1	13118818	13141615
chr1	ENSG00000233336.1	13136981	13157460
chr1	ENSG00000280267.4	13138905	13165961
chr1	ENSG00000179412.10	13154586	13175467
chr1	ENSG00000204505.4	13162455	13189464
chr1	ENSG00000279169.2	13186330	13211409
chr1	ENSG00000279804.2	13212705	13236106
chr1	ENSG00000250894.1	13235863	13258652
chr1	ENSG00000270601.4	13244212	13273314
chr1	ENSG00000231219.1	13263539	13285627
chr1	ENSG00000207511.1	13269125	13289231
chr1	ENSG00000182330.10	13271035	13295174
chr1	ENSG00000237700.2	13293539	13318907
chr1	ENSG00000204501.7	13305581	13332598
chr1	ENSG00000228229.2	13314039	13334518
chr1	ENSG00000204481.7	13332034	13357134
chr1	ENSG00000204480.7	13359067	13381693
chr1	ENSG00000204479.4	13379632	13402629
chr1	ENSG00000204478.9	13400450	13431328
chr1	ENSG00000162494.5	13464977	13524048
chr1	ENSG00000259961.1	13504291	13526270
chr1	ENSG00000215909.3	13545001	13565694
chr1	ENSG00000162493.16	13573465	13627957
chr1	ENSG00000222952.1	13613184	13633284
chr1	ENSG00000237445.2	13647311	13669910
chr1	ENSG00000253085.1	13686070	13706199
chr1	ENSG00000116731.22	13690198	13835079
chr1	ENSG00000189337.16	13882792	15128043
chr1	ENSG00000252151.1	14114233	14134335
chr1	ENSG00000231606.1	14211891	14233118
chr1	ENSG00000234593.2	14338955	14401575
chr1	ENSG00000235829.1	14682129	14702613
chr1	ENSG00000175147.11	15101815	15162464
chr1	ENSG00000171729.13	15142532	15230480
chr1	ENSG00000204464.7	15154344	15181317
chr1	ENSG00000215720.4	15181828	15202845
chr1	ENSG00000278480.1	15216373	15237549
chr1	ENSG00000142621.19	15237272	15410283
chr1	ENSG00000233485.1	15316680	15353876
chr1	ENSG00000236045.1	15324166	15345464
chr1	ENSG00000228140.1	15392979	15419433
chr1	ENSG00000142634.12	15399895	15440343
chr1	ENSG00000162438.11	15428439	15459242
chr1	ENSG00000142615.7	15446728	15482091
chr1	ENSG00000215704.9	15455909	15497437
chr1	ENSG00000132906.17	15480832	15536534
chr1	ENSG00000116138.12	15516813	15602379
chr1	ENSG00000251866.1	15532165	15552304
chr1	ENSG00000272510.1	15555611	15575817
chr1	ENSG00000116771.5	15562353	15595110
chr1	ENSG00000237301.1	15576136	15613626
chr1	ENSG00000235084.3	15594597	15615043
chr1	ENSG00000252417.1	15598078	15618145
chr1	ENSG00000236500.1	15604643	15624867
chr1	ENSG00000197312.11	15607500	15679044
chr1	ENSG00000271742.1	15672873	15693128
chr1	ENSG00000116786.11	15674332	15744769
chr1	ENSG00000237938.5	15710312	15746896
chr1	ENSG00000162461.7	15726405	15751396
chr1	ENSG00000224459.1	15739430	15759896
chr1	ENSG00000162460.6	15732422	15757982
chr1	ENSG00000162458.12	15746607	15796594
chr1	ENSG00000224321.1	15782796	15803285
chr1	ENSG00000233954.6	15797169	15819348
chr1	ENSG00000178715.8	15818232	15838669
chr1	ENSG00000179743.4	15824474	15846906
chr1	ENSG00000065526.10	15837864	15950460
chr1	ENSG00000270620.1	15907698	15927908
chr1	ENSG00000116809.11	15931869	15986132
chr1	ENSG00000234607.2	15959632	15980194
chr1	ENSG00000231353.1	15978182	15998441
chr1	ENSG00000275503.1	15979140	15999375
chr1	ENSG00000224966.4	15979871	16004751
chr1	ENSG00000183888.4	15994236	16018807
chr1	ENSG00000173641.17	16004028	16029594
chr1	ENSG00000186510.11	16008875	16044050
chr1	ENSG00000232456.1	16025178	16050029
chr1	ENSG00000184908.17	16033736	16067308
chr1	ENSG00000185519.8	16047769	16083632
chr1	ENSG00000142627.12	16114337	16166087
chr1	ENSG00000227959.1	16145211	16167329
chr1	ENSG00000224621.1	16149266	16171883
chr1	ENSG00000142632.16	16188217	16222609
chr1	ENSG00000237276.8	16205909	16238027
chr1	ENSG00000132881.11	16221700	16247162
chr1	ENSG00000233929.1	16231213	16251398
chr1	ENSG00000037637.10	16236839	16362454
chr1	ENSG00000055070.16	16342575	16408145
chr1	ENSG00000226457.1	16359150	16379530
chr1	ENSG00000187144.11	16377126	16447424
chr1	ENSG00000157191.19	16430672	16470078
chr1	ENSG00000226029.1	16450948	16473287
chr1	ENSG00000080947.14	16457436	16509257
chr1	ENSG00000206652.1	16504122	16524285
chr1	ENSG00000261135.1	16504645	16525754
chr1	ENSG00000224174.2	16510694	16531796
chr1	ENSG00000233421.4	16523886	16546172
chr1	ENSG00000277344.1	16524210	16544224
chr1	ENSG00000268991.2	16529066	16549575
chr1	ENSG00000225710.1	16538651	16562531
chr1	ENSG00000219481.10	16552319	16623562
chr1	ENSG00000271732.1	16607391	16627729
chr1	ENSG00000215908.10	16608253	16667232
chr1	ENSG00000186301.8	16635622	16660289
chr1	ENSG00000282143.1	16646955	16677524
chr1	ENSG00000207513.1	16656785	16676940
chr1	ENSG00000237847.2	16663003	16683512
chr1	ENSG00000280114.1	16671097	16698749
chr1	ENSG00000236698.1	16675621	16696055
chr1	ENSG00000268869.5	16681113	16730157
chr1	ENSG00000279151.1	16691546	16715594
chr1	ENSG00000279132.2	16723952	16744461
chr1	ENSG00000282740.1	16729938	16760513
chr1	ENSG00000058453.16	16911950	16982979
chr1	ENSG00000227684.2	16740233	16760968
chr1	ENSG00000207389.1	16730524	16750679
chr1	ENSG00000186715.10	16744910	16780237
chr1	ENSG00000223643.6	16841257	16863129
chr1	ENSG00000230239.1	16845407	16869284
chr1	ENSG00000263811.1	16848949	16869021
chr1	ENSG00000228549.3	16860945	16884092
chr1	ENSG00000238142.1	16878538	16899649
chr1	ENSG00000235241.1	16879095	16899547
chr1	ENSG00000207005.1	16885980	16906143
chr1	ENSG00000272426.1	16894339	16914776
chr1	ENSG00000117122.13	16964502	16990835
chr1	ENSG00000226526.1	16968926	17015091
chr1	ENSG00000159363.17	16975958	17021928
chr1	ENSG00000117118.9	17008722	17064170
chr1	ENSG00000117115.12	17056761	17129435
chr1	ENSG00000204362.6	17179783	17207617
chr1	ENSG00000282843.1	17183232	17211733
chr1	ENSG00000142623.9	17195126	17256005
chr1	ENSG00000142619.4	17239098	17294233
chr1	ENSG00000266634.1	17267889	17287975
chr1	ENSG00000159339.13	17298195	17374004
chr1	ENSG00000276747.1	17362196	17411699
chr1	ENSG00000179051.13	17397005	17449724
chr1	ENSG00000074964.16	17529835	17707869
chr1	ENSG00000236648.1	17707687	17759978
chr1	ENSG00000117148.7	17745313	17837063
chr1	ENSG00000261781.1	18055657	18084412
chr1	ENSG00000117154.11	18097746	18388482
chr1	ENSG00000280222.1	18099389	18125861
chr1	ENSG00000230035.2	18156929	18189346
chr1	ENSG00000225387.1	18375829	18398514
chr1	ENSG00000179023.8	18470982	18496126
chr1	ENSG00000235282.3	18503118	18523383
chr1	ENSG00000225478.2	18585414	18605636
chr1	ENSG00000009709.11	18621006	18758866
chr1	ENSG00000179002.5	18829599	18869682
chr1	ENSG00000159423.16	18861430	18912781
chr1	ENSG00000265606.1	18873202	18893275
chr1	ENSG00000221662.1	18887071	18907148
chr1	ENSG00000169991.10	18894281	18966686
chr1	ENSG00000272084.1	19062110	19085511
chr1	ENSG00000127481.14	19066740	19220276
chr1	ENSG00000230424.1	19200501	19250296
chr1	ENSG00000127463.13	19205664	19261538
chr1	ENSG00000053372.4	19241553	19270128
chr1	ENSG00000211454.13	19255982	19284194
chr1	ENSG00000162482.4	19272558	19299250
chr1	ENSG00000270728.1	19287080	19307903
chr1	ENSG00000053371.12	19293965	19322146
chr1	ENSG00000200403.1	19295076	19315182
chr1	ENSG00000040487.12	19302326	19339300
chr1	ENSG00000077549.17	19328776	19495539
chr1	ENSG00000240490.3	19414384	19434671
chr1	ENSG00000201609.1	19500593	19520733
chr1	ENSG00000235185.1	19581802	19606832
chr1	ENSG00000173436.13	19586977	19639821
chr1	ENSG00000226396.1	19598114	19618568
chr1	ENSG00000158747.13	19630554	19668456
chr1	ENSG00000158748.3	19655287	19689562
chr1	ENSG00000162542.13	19672213	19809945
chr1	ENSG00000178828.6	19804029	19825278
chr1	ENSG00000235434.1	19809243	19829502
chr1	ENSG00000169914.5	19872513	19922945
chr1	ENSG00000188784.4	19910009	19933617
chr1	ENSG00000242688.3	19960969	19981269
chr1	ENSG00000188257.10	19965431	19990416
chr1	ENSG00000127472.10	20018179	20101190
chr1	ENSG00000117215.14	20101939	20129566
chr1	ENSG00000158786.4	20129326	20160386
chr1	ENSG00000227066.1	20144338	20170568
chr1	ENSG00000187980.6	20151253	20187424
chr1	ENSG00000225986.1	20174242	20196486
chr1	ENSG00000162543.5	20176085	20206048
chr1	ENSG00000228105.1	20233095	20254655
chr1	ENSG00000158816.15	20280919	20364894
chr1	ENSG00000226664.1	20284211	20333187
chr1	ENSG00000236963.6	20350579	20441234
chr1	ENSG00000226487.1	20402304	20423253
chr1	ENSG00000162545.5	20472391	20496220
chr1	ENSG00000090432.6	20489448	20518161
chr1	ENSG00000215520.3	20515989	20536751
chr1	ENSG00000183114.7	20542439	20565010
chr1	ENSG00000158825.5	20578948	20628908
chr1	ENSG00000158828.7	20623455	20655723
chr1	ENSG00000117242.7	20632657	20661766
